id,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
1,11-SEP-2023,19890.0,20008.15,19865.35,19996.35,248763130,21924.34
2,12-SEP-2023,20110.15,20110.35,19914.65,19993.2,328064239,30110.8
3,13-SEP-2023,19989.5,20096.9,19944.1,20070.0,251394599,24332.36
4,14-SEP-2023,20127.95,20167.65,20043.45,20103.1,275111881,21902.65
5,15-SEP-2023,20156.45,20222.45,20129.7,20192.35,438185104,42681.35
